N,P,K,temperature,humidity,ph,rainfall,label
18.3,66.5,19.6,19.25,28.7,6.03,134.66,kidneybeans
17.8,67.1,13.6,21.88,62.78,6.32,46.91,lentil
75.3,46.8,43.5,20.05,70.53,7.08,161.47,jute
19.8,66.2,16.9,19.37,65.33,6.49,44.72,lentil
21.6,72.2,18.0,18.3,46.3,6.32,204.31,pigeonpeas
80.1,43.5,39.4,24.23,78.2,6.57,186.13,jute
19.9,107.5,204.5,16.21,87.5,5.69,81.55,grapes
55.6,58.5,43.8,37.56,91.74,5.92,92.78,papaya
28.9,114.3,187.2,21.32,90.23,6.44,66.69,grapes
50.1,61.5,50.5,36.4,92.23,7.13,142.0,papaya
16.8,139.4,208.7,21.18,90.66,6.07,124.99,apple
92.6,26.7,60.0,25.65,91.59,6.23,54.31,watermelon
122.7,27.7,23.3,24.78,74.46,7.1,62.66,cotton
48.0,67.8,17.7,34.23,61.97,7.25,64.23,blackgram
92.6,91.6,43.7,25.11,78.43,5.89,67.52,banana
17.7,80.8,24.3,19.27,25.37,5.85,102.65,kidneybeans
41.9,51.7,21.8,16.23,53.7,5.83,74.42,maize
46.8,76.1,16.9,28.93,70.27,7.44,45.0,blackgram
22.5,34.4,32.9,26.66,46.21,5.8,115.04,mango
23.5,56.5,20.7,29.65,73.57,7.26,64.53,lentil
28.6,77.9,15.1,23.04,18.75,5.28,102.97,kidneybeans
70.9,50.7,37.9,25.27,73.41,6.85,158.0,jute
47.5,64.4,87.0,18.23,20.83,8.04,96.37,chickpea
25.9,67.2,21.6,14.83,18.66,5.92,120.56,kidneybeans
9.0,42.9,16.5,31.66,88.6,6.68,42.53,mungbean
47.3,74.4,15.1,30.73,64.55,6.3,79.28,blackgram
19.8,140.0,178.9,23.97,81.38,5.8,75.05,grapes
10.6,132.7,200.3,21.7,91.8,5.94,109.42,apple
81.1,45.4,31.9,13.53,63.73,5.98,66.6,wheat
94.4,13.5,62.2,28.14,83.08,5.96,48.74,watermelon
104.9,24.0,38.7,27.87,92.48,6.23,25.68,muskmelon
20.4,6.9,29.0,29.63,94.02,5.5,150.51,coconut
26.1,61.0,26.5,27.3,32.34,5.25,115.06,pigeonpeas
18.9,18.6,32.3,21.06,93.81,6.56,113.74,pomegranate
36.7,79.8,87.0,17.46,13.87,7.23,76.4,chickpea
20.4,71.3,16.0,17.53,17.62,5.64,114.13,kidneybeans
138.3,45.6,9.6,24.19,85.81,6.86,88.94,cotton
12.2,51.7,16.1,30.78,63.02,5.65,39.75,lentil
79.9,38.9,34.0,25.14,69.25,6.98,211.84,jute
21.5,68.6,15.7,22.96,44.95,6.13,170.45,pigeonpeas
103.0,91.2,57.7,30.02,83.43,6.14,76.32,banana
58.0,60.4,40.5,32.44,93.01,6.61,139.83,papaya
8.8,21.0,29.6,32.29,53.8,5.79,85.13,mango
10.7,68.5,22.1,21.61,24.23,5.94,73.32,kidneybeans
24.2,55.0,18.8,29.69,71.75,6.76,50.69,lentil
20.6,37.3,9.9,27.03,54.95,6.21,30.55,mothbeans
16.6,17.3,31.4,27.8,48.08,5.33,91.51,mango
15.6,25.1,56.7,21.24,91.19,6.59,109.39,pomegranate
135.7,60.9,20.5,22.94,83.74,7.05,68.76,cotton
71.5,42.4,47.8,24.63,72.89,6.34,91.46,wheat
96.3,84.4,45.6,29.11,84.47,6.26,95.77,banana
101.8,50.4,13.0,27.32,83.95,5.2,103.06,maize
105.3,17.7,55.8,33.25,88.97,6.42,30.24,muskmelon
8.1,74.5,19.2,16.14,61.87,6.73,35.65,lentil
125.8,56.6,20.0,19.07,96.26,7.41,83.19,cotton
66.4,44.4,44.9,28.39,85.14,6.46,172.16,jute
19.4,124.7,212.7,17.96,83.17,6.33,83.08,grapes
20.4,117.6,218.4,23.92,89.38,6.31,102.19,apple
36.3,60.5,59.0,34.91,95.44,6.77,172.47,papaya
109.3,44.4,52.7,24.35,78.9,5.84,230.47,rice
110.4,17.5,50.2,28.56,91.34,6.53,22.77,muskmelon
76.1,15.3,58.4,19.53,95.43,6.26,47.02,watermelon
86.6,35.2,26.3,24.62,52.06,6.56,153.17,coffee
28.0,85.5,16.1,12.51,30.09,5.8,103.89,kidneybeans
15.6,57.8,21.9,28.5,55.83,5.96,160.6,pigeonpeas
18.0,53.3,14.2,23.25,44.81,6.27,149.77,pigeonpeas
22.7,59.3,26.8,25.52,86.55,6.79,41.15,mungbean
16.8,54.9,14.7,22.65,55.2,7.07,43.13,mothbeans
74.6,55.7,40.9,27.98,67.67,6.81,139.04,jute
68.6,59.8,15.7,22.45,73.19,7.18,74.75,maize
22.8,27.9,29.1,31.03,42.9,6.55,96.94,mango
21.5,24.4,26.9,24.23,95.36,6.31,227.94,coconut
48.1,59.9,54.5,36.01,97.65,6.66,139.3,papaya
111.1,44.5,22.1,26.64,88.65,6.88,68.67,cotton
16.4,65.0,20.1,21.69,21.15,5.88,97.53,kidneybeans
20.5,21.2,37.3,30.64,93.73,5.65,184.06,coconut
36.6,145.5,220.3,26.81,78.93,6.24,85.25,grapes
8.2,41.7,20.8,28.69,50.65,7.01,41.36,mothbeans
78.8,19.9,57.7,26.99,95.27,6.31,24.9,muskmelon
22.7,62.2,19.6,28.53,49.9,5.7,150.6,pigeonpeas
98.6,52.7,24.3,23.89,90.39,7.46,251.85,rice
38.9,65.9,17.0,28.06,60.04,7.24,74.87,blackgram
27.1,137.7,186.6,24.42,89.62,6.25,62.5,grapes
101.3,56.2,45.5,16.87,86.27,6.68,218.5,rice
112.5,19.7,53.1,30.32,89.33,6.3,15.51,muskmelon
76.0,37.8,48.4,25.08,80.3,7.07,178.5,jute
28.9,18.5,34.8,29.25,89.92,6.05,217.34,coconut
42.7,72.2,61.2,16.22,17.46,7.7,88.59,chickpea
47.9,66.7,72.5,32.48,90.42,6.56,171.18,papaya
84.8,49.6,21.7,24.97,59.46,6.91,58.01,maize
52.7,79.3,18.0,26.04,63.16,7.34,63.27,blackgram
80.4,44.8,27.1,22.01,53.51,6.43,62.05,maize
92.5,42.1,40.3,18.25,43.05,6.1,54.14,wheat
16.2,27.4,27.9,33.16,52.9,6.02,91.42,mango
110.9,40.2,43.6,25.01,68.9,6.78,169.52,jute
16.9,16.9,8.8,22.25,86.38,6.82,126.23,orange
15.1,27.9,25.0,30.74,53.79,5.95,103.88,mango
107.4,36.6,26.4,19.95,52.35,7.14,151.2,coffee
101.9,27.3,25.5,22.73,59.79,6.49,180.4,coffee
104.6,13.4,55.8,22.51,84.52,5.99,66.13,watermelon
22.3,73.8,17.9,26.42,62.1,6.4,133.42,pigeonpeas
20.3,71.5,16.9,21.55,55.68,6.26,51.51,lentil
62.5,43.0,18.0,13.74,69.24,6.04,94.18,maize
101.3,29.2,33.9,27.55,66.06,6.71,159.27,coffee
17.9,15.4,9.0,22.24,86.9,7.61,102.14,orange
99.5,33.0,17.4,26.59,80.49,6.43,91.58,cotton
75.1,36.6,10.0,24.04,55.01,7.29,131.83,maize
21.7,120.3,219.6,27.87,84.87,5.78,74.82,grapes
19.3,72.9,22.1,21.2,19.07,5.01,103.12,kidneybeans
24.9,138.9,211.8,21.79,94.38,5.31,88.42,grapes
114.1,46.9,44.9,12.24,52.77,5.63,68.61,wheat
66.5,70.7,49.6,36.21,88.86,6.3,178.41,papaya
62.9,55.6,75.6,18.2,15.4,7.45,74.48,chickpea
32.3,71.4,69.0,21.41,16.79,7.46,67.65,chickpea
90.1,48.0,22.5,22.58,55.63,5.71,101.75,maize
23.1,17.3,9.8,25.78,84.76,6.96,91.77,orange
27.1,148.1,193.2,18.58,100.0,5.67,113.65,apple
88.4,11.0,48.4,28.46,85.57,6.5,34.81,watermelon
134.8,48.5,20.2,22.6,81.31,6.3,87.18,cotton
22.2,136.8,180.7,21.71,77.34,5.89,77.62,grapes
22.9,45.9,20.6,26.99,37.57,6.38,42.05,mothbeans
98.4,46.3,46.6,23.48,55.07,6.22,65.91,wheat
20.2,17.2,21.4,25.62,96.64,5.99,183.74,coconut
91.5,62.2,44.0,26.51,90.56,6.35,192.31,rice
52.9,82.2,92.7,20.63,19.69,7.04,82.83,chickpea
28.7,61.7,73.7,17.56,20.13,6.84,89.15,chickpea
113.3,27.1,45.4,16.24,56.85,6.43,100.46,wheat
40.7,64.9,20.0,25.01,67.76,7.15,71.85,blackgram
14.6,13.1,11.8,21.61,95.58,6.95,99.96,orange
98.1,18.4,55.7,24.03,89.78,6.04,34.5,muskmelon
72.1,53.4,59.2,28.78,74.05,6.91,182.08,jute
106.4,25.5,28.4,27.49,52.89,6.9,152.41,coffee
25.9,73.0,19.9,27.97,57.16,6.07,134.38,pigeonpeas
18.9,61.4,21.3,19.96,18.38,5.95,104.82,kidneybeans
14.9,34.4,41.2,22.79,47.77,6.0,102.33,mango
56.7,45.5,52.5,34.74,90.38,6.87,153.04,papaya
26.6,140.3,197.5,26.75,97.02,6.38,100.83,apple
28.7,68.2,20.2,31.03,67.13,7.15,53.99,blackgram
74.3,36.6,32.1,24.23,55.32,6.8,162.98,coffee
137.1,35.9,19.1,24.97,83.73,6.51,96.68,cotton
21.2,38.3,15.0,28.17,84.96,7.25,50.1,mungbean
33.3,76.5,15.4,28.55,52.99,5.46,185.83,pigeonpeas
13.3,25.8,19.9,26.16,44.34,5.06,84.4,mango
86.4,37.5,19.5,32.19,78.11,5.26,92.29,maize
43.6,50.4,21.4,36.2,67.22,7.44,87.53,blackgram
80.0,31.4,25.1,24.2,60.82,7.29,116.34,coffee
103.9,34.2,48.0,23.59,57.22,6.51,85.13,wheat
98.8,20.7,49.2,32.37,88.73,6.46,38.06,muskmelon
90.0,15.8,55.7,27.52,81.33,6.48,45.58,watermelon
31.4,27.8,35.8,30.75,94.92,6.09,180.93,coconut
71.9,49.9,30.1,27.64,84.2,6.66,144.22,jute
27.0,20.4,32.2,26.14,86.16,5.9,157.77,coconut
86.2,45.6,34.9,18.29,64.69,6.48,96.77,wheat
128.6,45.7,20.3,30.65,85.13,6.74,76.24,cotton
24.3,46.9,22.6,27.18,81.24,6.22,45.94,mungbean
77.4,52.7,23.6,21.03,64.49,6.38,110.43,maize
101.9,28.7,27.4,22.63,58.66,7.33,193.13,coffee
32.2,71.4,18.4,18.43,19.32,6.03,75.39,kidneybeans
73.7,39.4,15.0,24.23,61.2,6.15,80.41,maize
53.1,57.5,44.9,33.97,90.35,7.52,168.8,papaya
18.2,37.6,26.3,31.08,74.83,5.84,32.8,mungbean
28.9,131.7,197.0,31.81,80.68,5.88,65.35,grapes
92.7,17.3,49.3,28.44,89.43,6.91,20.35,muskmelon
22.7,28.3,35.5,32.16,48.5,6.19,128.5,mango
20.8,72.8,24.2,19.82,20.21,5.74,107.59,kidneybeans
28.9,63.4,25.8,26.59,68.06,7.23,79.58,blackgram
22.1,19.5,7.9,16.74,99.97,7.57,128.47,orange
100.0,29.3,35.4,19.55,60.76,6.47,59.93,wheat
23.9,27.8,36.4,30.43,40.24,5.52,107.5,mango
28.6,19.5,36.7,21.01,93.42,6.37,109.4,pomegranate
42.1,65.3,21.9,27.28,73.03,7.09,73.05,blackgram
18.5,126.3,201.7,14.77,84.69,6.21,73.45,apple
99.9,21.3,37.4,25.7,85.36,6.36,51.06,watermelon
21.1,72.8,21.4,24.64,56.24,7.8,44.07,lentil
33.6,70.3,23.8,33.9,67.2,7.37,36.27,blackgram
76.5,69.9,59.0,28.86,76.04,6.2,105.6,banana
60.0,40.2,48.5,20.0,81.52,6.44,205.04,rice
102.5,53.8,32.4,31.46,75.35,6.34,155.84,jute
83.0,19.2,57.5,35.1,91.88,6.21,27.54,muskmelon
27.3,16.7,4.6,25.13,91.1,7.13,88.94,orange
20.4,18.5,30.0,31.38,59.0,5.2,129.38,mango
26.2,65.0,82.0,19.28,22.5,6.51,67.46,chickpea
15.1,38.3,23.2,31.41,55.84,7.39,69.6,mothbeans
20.2,51.8,22.0,26.56,83.44,6.01,53.97,mungbean
18.4,59.9,23.4,16.75,23.34,5.69,97.75,kidneybeans
71.3,60.4,38.8,27.68,96.49,6.26,139.38,papaya
16.4,54.4,13.4,26.07,82.11,6.96,33.6,mungbean
67.3,55.8,82.8,17.84,19.02,7.07,73.23,chickpea
14.5,20.8,29.8,28.43,91.36,6.92,155.8,coconut
81.9,46.4,46.3,24.41,73.37,6.62,144.72,jute
109.2,59.6,24.1,24.71,90.96,7.02,94.85,cotton
21.5,49.6,19.0,23.62,63.12,6.52,58.35,mothbeans
100.0,45.0,45.7,19.64,56.45,7.2,77.47,wheat
82.4,39.4,33.4,16.91,45.15,5.9,51.6,wheat
26.7,64.2,23.3,29.11,49.94,5.77,96.09,pigeonpeas
108.0,54.1,18.0,22.17,89.08,6.86,71.86,cotton
84.5,58.6,36.7,25.33,76.54,7.03,253.97,rice
66.4,64.2,19.1,25.93,68.34,7.29,71.4,blackgram
11.4,17.4,26.6,26.6,90.85,6.0,192.97,coconut
32.1,43.2,51.4,37.99,92.6,7.44,119.53,papaya
41.9,126.2,179.4,24.56,79.19,5.93,68.81,grapes
21.9,69.4,14.1,27.05,91.66,6.5,59.16,mungbean
12.4,59.6,21.4,25.71,44.63,5.37,146.3,pigeonpeas
81.7,56.2,45.1,25.05,85.9,6.64,216.19,rice
25.1,13.1,6.9,19.19,90.78,6.97,106.84,orange
13.9,63.0,25.6,28.26,25.43,5.38,96.58,kidneybeans
15.2,10.9,10.8,26.94,93.82,6.57,110.29,orange
20.2,48.2,30.7,24.58,52.06,6.81,42.95,mothbeans
81.0,38.6,47.5,25.05,88.92,7.09,189.9,jute
27.1,70.4,21.2,25.34,66.65,6.11,90.79,pigeonpeas
109.5,17.3,48.4,24.73,80.73,6.58,61.68,watermelon
103.1,21.4,50.4,22.11,76.64,6.41,47.98,watermelon
36.6,60.3,53.3,29.73,93.49,6.64,142.36,papaya
19.3,29.8,19.9,32.43,57.96,6.15,115.36,mango
26.5,62.1,16.8,24.35,22.84,5.25,96.52,kidneybeans
66.1,41.5,42.0,17.64,84.16,6.49,217.46,rice
20.4,48.9,20.3,31.04,84.57,6.93,54.0,mungbean
20.5,17.0,15.6,25.04,98.22,7.1,99.53,orange
21.2,18.0,10.3,22.32,96.82,7.12,144.42,orange
75.6,27.1,30.8,22.67,67.22,6.09,156.21,coffee
84.3,51.5,16.3,23.79,70.1,6.95,91.56,maize
52.3,64.3,90.5,15.09,18.2,6.61,81.08,chickpea
101.3,47.3,15.8,26.87,78.28,7.43,55.28,cotton
91.1,21.0,42.7,29.59,90.49,6.41,21.8,muskmelon
16.5,19.2,33.0,26.94,85.47,6.66,78.5,pomegranate
97.6,16.0,60.3,22.15,79.19,6.2,53.04,watermelon
21.2,59.7,21.2,23.51,41.02,6.16,149.49,pigeonpeas
50.2,54.7,44.3,35.99,92.38,6.77,128.01,papaya
101.4,49.2,30.3,22.32,78.56,6.76,246.51,rice
24.4,73.6,24.4,25.01,52.18,6.74,36.74,mothbeans
14.0,72.7,29.0,24.78,56.03,7.47,41.26,lentil
15.5,79.7,18.1,24.16,64.06,6.16,141.64,pigeonpeas
116.5,48.7,13.7,25.3,88.46,7.03,77.67,cotton
103.2,82.0,49.0,19.28,72.66,6.4,117.51,banana
15.3,51.3,17.8,13.88,23.3,5.54,106.21,kidneybeans
76.8,73.8,44.9,32.34,92.84,5.92,106.67,banana
60.4,55.5,49.1,34.26,91.2,6.9,143.97,papaya
91.3,37.6,27.6,23.77,68.42,7.53,213.4,coffee
76.6,19.2,48.1,26.35,88.67,6.78,68.42,watermelon
111.7,50.4,35.3,31.26,48.41,6.35,64.5,wheat
33.5,61.7,15.7,29.48,62.16,6.58,66.77,blackgram
37.2,57.5,70.1,17.7,20.17,7.62,52.76,chickpea
74.1,50.6,46.6,28.34,81.74,5.84,248.74,rice
102.2,42.4,32.1,20.56,56.45,7.01,83.83,wheat
25.5,44.4,24.9,29.26,86.92,6.69,49.73,mungbean
18.8,27.0,32.1,33.63,56.58,6.84,98.31,mango
126.1,69.8,50.6,25.16,70.47,5.48,97.17,banana
88.9,18.1,46.4,27.98,89.59,5.41,31.13,muskmelon
17.1,22.1,33.0,25.22,90.62,6.21,184.83,coconut
22.3,26.4,29.6,28.28,48.93,5.54,75.85,mango
76.8,33.5,37.2,20.14,79.53,6.47,163.68,jute
91.1,87.9,53.1,28.65,91.01,6.21,69.52,banana
17.8,18.7,12.9,22.78,93.52,6.88,90.55,orange
29.5,130.6,203.1,21.46,93.31,5.43,105.9,apple
29.1,21.0,31.8,28.0,91.82,5.76,160.82,coconut
17.8,128.6,209.0,25.53,76.44,6.42,69.36,grapes
88.7,15.4,61.0,26.61,84.81,7.15,55.88,watermelon
28.3,23.3,29.5,29.84,63.95,5.81,108.03,mango
84.8,66.1,33.4,24.63,83.21,6.06,254.44,rice
97.2,25.1,30.8,28.18,59.74,6.81,185.83,coffee
85.1,74.0,48.9,26.35,76.89,6.25,90.86,banana
14.7,16.2,25.8,30.1,98.0,6.47,163.81,coconut
22.3,42.6,21.8,25.02,90.35,5.65,44.15,mungbean
21.5,70.5,15.6,21.57,60.98,6.9,38.66,lentil
21.4,51.6,19.5,30.18,46.76,7.0,70.47,mothbeans
28.5,37.1,27.7,28.4,58.86,7.15,60.13,mothbeans
69.0,46.4,27.4,16.51,55.2,6.52,116.35,maize
49.7,51.3,43.0,26.98,86.74,6.3,275.48,rice
105.7,37.8,51.3,23.49,61.89,6.24,75.99,wheat
22.6,46.8,19.2,26.49,85.75,6.81,41.74,mungbean
25.5,19.8,47.2,22.39,87.44,5.86,66.11,pomegranate
23.6,63.3,15.3,30.16,62.02,8.22,46.96,lentil
123.0,19.5,54.5,27.24,89.03,5.88,25.5,muskmelon
91.9,36.9,42.9,20.41,51.49,7.14,54.12,wheat
17.2,18.0,33.5,25.12,96.87,5.85,163.56,coconut
16.5,62.9,32.5,13.62,17.26,6.42,96.81,kidneybeans
67.7,46.2,20.1,20.4,56.32,6.88,96.95,maize
115.2,26.3,28.1,26.36,58.84,7.26,189.4,coffee
107.5,15.5,51.6,27.4,87.71,6.37,22.28,muskmelon
13.7,20.3,28.6,23.89,86.73,7.04,100.12,pomegranate
85.9,44.9,33.6,21.04,78.67,5.88,228.9,rice
25.8,130.0,208.0,20.56,93.62,5.47,90.91,apple
59.8,63.2,53.8,33.09,88.42,6.34,113.98,papaya
9.7,61.7,14.7,25.27,53.73,7.17,70.28,mothbeans
118.7,29.0,35.3,27.93,62.89,6.89,113.66,coffee
100.1,63.0,24.2,19.65,86.85,5.75,223.34,rice
54.8,57.9,44.7,28.6,86.27,6.43,219.35,rice
21.0,119.0,199.3,25.1,85.14,6.37,64.41,grapes
17.6,78.2,18.2,23.62,31.36,5.38,61.88,kidneybeans
32.5,12.9,30.4,26.73,98.14,5.63,139.03,coconut
53.9,56.8,14.7,27.33,58.71,7.61,95.86,blackgram
19.7,14.0,9.6,28.22,91.17,6.55,109.2,orange
86.6,38.6,44.6,16.71,67.32,6.59,55.85,wheat
26.1,51.4,16.4,27.59,80.7,6.43,46.47,mungbean
71.3,49.3,40.4,22.79,83.3,6.64,195.35,jute
13.1,66.3,19.6,29.97,53.92,7.43,41.88,lentil
107.3,78.3,57.5,26.02,75.37,6.54,126.72,banana
34.6,72.9,25.7,26.88,50.5,6.85,69.2,blackgram
90.1,45.1,48.2,20.79,55.33,6.77,107.21,wheat
27.4,86.2,14.8,24.99,60.67,5.79,139.25,pigeonpeas
23.1,20.2,33.9,24.49,92.22,6.07,161.75,coconut
16.5,70.1,23.8,34.44,59.31,7.04,36.18,lentil
25.9,20.7,42.6,28.35,96.62,6.2,196.09,coconut
15.2,129.3,178.3,14.71,78.46,6.58,71.18,grapes
21.8,14.4,7.6,17.45,88.53,7.21,107.23,orange
55.7,43.4,47.0,20.85,84.48,6.97,144.04,jute
28.1,138.0,215.9,18.41,89.77,6.03,106.41,apple
28.5,138.4,210.4,27.83,80.35,5.99,69.36,grapes
38.5,62.3,29.2,28.46,64.18,6.85,78.67,blackgram
17.8,39.8,19.1,21.72,48.78,7.08,47.46,mothbeans
19.0,31.9,23.6,30.55,90.75,7.24,41.95,mungbean
53.0,58.9,35.5,31.71,86.19,6.47,150.27,papaya
20.3,44.5,17.8,27.98,45.75,7.36,62.54,mothbeans
35.3,141.7,186.7,24.48,78.83,5.96,75.9,grapes
92.3,18.4,27.5,24.84,54.11,7.05,164.43,coffee
78.9,41.4,45.1,20.62,64.48,7.12,156.38,jute
94.5,22.5,37.8,26.81,97.46,5.57,35.7,muskmelon
113.2,18.1,55.0,23.31,81.47,6.61,52.78,watermelon
108.2,12.1,44.7,29.37,96.17,6.6,24.52,muskmelon
17.2,33.0,23.4,25.4,60.05,7.3,49.33,mothbeans
45.2,58.9,51.9,34.91,94.83,6.61,110.96,papaya
18.8,72.1,19.7,13.25,22.65,5.65,111.98,kidneybeans
93.1,18.4,59.7,28.08,81.76,6.22,59.52,watermelon
88.7,37.2,27.8,25.2,58.55,6.48,180.41,coffee
11.7,54.6,24.7,16.35,78.77,6.89,50.35,lentil
52.2,65.9,51.7,40.05,88.59,7.52,176.64,papaya
95.4,56.0,31.2,30.24,93.88,6.49,207.87,rice
58.4,39.3,26.6,24.78,80.34,6.06,153.43,jute
120.6,88.9,45.8,26.62,71.61,5.9,100.68,banana
21.6,16.2,23.4,26.27,94.06,5.86,155.06,coconut
43.7,67.0,18.0,34.58,52.77,7.12,51.28,blackgram
85.7,39.0,29.8,25.13,62.07,6.4,89.0,wheat
94.3,54.6,42.4,26.02,67.83,6.18,175.86,jute
38.0,71.2,21.3,32.41,76.85,6.53,53.19,blackgram
50.4,61.9,98.0,20.42,12.98,8.24,58.6,chickpea
19.6,40.5,23.5,25.21,55.98,7.05,71.99,mothbeans
20.5,70.4,18.8,19.22,22.65,5.67,122.33,kidneybeans
121.6,49.0,11.6,23.96,71.69,6.96,86.95,cotton
25.9,66.5,23.3,33.44,49.91,5.99,125.76,pigeonpeas
88.0,18.1,44.7,30.71,94.21,6.58,30.97,muskmelon
8.6,39.4,21.1,26.11,77.79,6.42,49.57,mungbean
15.3,24.5,6.3,19.83,96.27,6.58,111.46,orange
37.0,112.0,170.2,28.32,76.74,6.35,63.54,grapes
66.7,41.7,37.2,25.89,78.47,6.42,174.14,jute
115.5,54.6,46.3,22.48,51.68,5.92,89.74,wheat
33.2,91.3,76.7,20.46,16.14,7.63,65.08,chickpea
19.3,81.7,12.9,19.86,22.71,5.77,86.32,kidneybeans
34.8,73.9,18.7,32.59,69.48,7.59,62.1,blackgram
77.2,86.2,47.2,22.15,73.98,5.89,132.43,banana
12.6,49.3,24.8,25.66,80.54,7.3,33.88,mungbean
49.7,65.7,80.3,18.27,15.17,8.54,65.96,chickpea
112.6,33.7,22.7,21.54,85.52,6.59,99.34,cotton
28.0,46.7,22.7,24.11,63.65,6.07,53.16,mothbeans
102.7,50.7,25.8,22.43,75.73,6.64,76.07,cotton
101.2,50.4,45.9,26.51,87.57,6.55,241.37,rice
102.6,37.8,37.5,16.33,56.64,6.45,77.57,wheat
12.2,34.0,35.6,34.61,55.8,6.16,113.62,mango
105.4,46.5,42.3,25.25,50.43,6.04,66.03,wheat
111.6,77.6,49.9,23.55,85.73,6.21,107.13,banana
22.9,21.3,25.4,27.28,88.94,6.18,149.77,coconut
96.6,20.9,50.4,31.12,81.43,6.84,49.94,watermelon
14.9,19.4,9.3,26.03,95.4,7.52,97.38,orange
45.6,61.9,49.1,34.54,89.35,6.91,166.26,papaya
129.0,35.7,23.3,26.86,83.36,7.0,70.41,cotton
99.3,32.3,30.9,26.18,61.34,7.25,183.74,coffee
29.5,19.2,30.5,31.3,94.58,5.83,145.03,coconut
79.4,37.5,14.1,22.57,64.38,6.3,107.34,maize
98.0,17.6,53.8,28.21,92.01,6.29,49.45,watermelon
126.5,48.6,20.7,23.6,80.57,6.41,61.74,cotton
20.1,63.5,22.5,30.9,65.63,6.06,122.48,pigeonpeas
19.6,16.3,31.8,32.69,41.2,5.88,93.45,mango
64.6,46.3,22.3,25.89,61.64,5.94,75.72,maize
24.0,47.2,19.9,29.64,82.52,6.31,41.98,mungbean
39.7,69.7,14.8,29.22,63.79,6.95,60.13,blackgram
27.3,72.4,24.1,25.73,19.04,6.02,103.13,kidneybeans
102.4,92.0,59.4,26.57,82.7,6.13,134.3,banana
120.3,12.4,59.1,23.0,77.92,6.14,39.83,watermelon
18.6,28.8,27.9,31.06,46.55,5.78,107.35,mango
44.7,61.9,16.7,31.76,55.17,7.99,71.62,blackgram
18.9,65.3,16.9,26.65,72.28,7.79,56.23,lentil
16.6,16.8,29.7,20.83,89.38,6.52,116.61,pomegranate
67.7,59.3,50.3,34.96,95.09,6.87,119.65,papaya
69.7,51.2,39.3,23.76,79.74,7.32,217.84,jute
112.9,56.8,22.8,24.77,85.2,7.01,100.01,cotton
15.0,47.9,18.8,26.29,63.72,6.69,34.23,mothbeans
7.4,31.8,17.4,28.6,65.41,7.06,55.61,mothbeans
22.1,18.2,22.1,31.28,92.11,6.24,179.32,coconut
10.2,43.1,21.2,26.95,46.88,7.51,71.23,mothbeans
129.4,64.8,56.8,28.21,78.99,6.25,103.17,banana
20.7,12.0,41.3,22.35,92.94,5.88,101.43,pomegranate
110.2,17.7,55.8,22.31,81.42,5.92,51.45,watermelon
20.5,58.8,22.8,31.62,55.73,5.69,172.39,pigeonpeas
14.8,67.2,14.1,28.49,58.57,6.76,45.0,lentil
72.0,57.5,28.5,24.1,83.52,6.24,256.71,rice
83.5,20.3,54.4,31.08,83.32,6.3,49.34,watermelon
19.7,54.0,19.9,28.08,48.58,6.43,52.92,mothbeans
24.1,31.1,36.1,31.45,55.95,5.67,110.11,mango
41.6,60.4,21.6,29.07,75.09,7.34,73.72,blackgram
86.3,52.3,47.5,24.64,63.69,6.57,85.09,wheat
16.9,60.7,10.7,19.71,67.4,6.65,62.45,lentil
17.3,12.7,12.1,25.84,95.4,6.8,122.16,orange
15.6,22.4,27.5,26.93,45.66,5.79,71.63,mango
22.2,65.6,17.2,18.47,20.85,6.1,98.26,kidneybeans
29.9,142.5,188.5,21.25,73.66,6.02,74.11,grapes
124.3,14.7,49.9,30.68,94.22,6.84,53.86,watermelon
23.9,133.6,199.5,23.0,88.18,6.13,101.04,apple
12.2,13.5,7.1,22.28,91.11,6.75,127.06,orange
23.9,79.2,21.7,18.25,20.86,5.66,90.97,kidneybeans
5.5,41.6,16.6,29.83,87.61,6.21,50.29,mungbean
52.5,38.6,49.5,27.12,92.95,6.83,166.1,jute
83.2,39.0,43.7,20.05,54.07,6.2,80.22,wheat
26.8,15.9,7.7,21.34,96.03,6.57,129.98,orange
38.4,65.3,75.9,14.4,17.79,7.19,93.72,chickpea
18.8,45.1,19.7,28.81,49.83,7.04,46.24,mothbeans
96.5,26.6,24.5,26.35,58.29,7.0,155.56,coffee
71.9,54.6,22.2,29.37,64.97,5.35,79.49,maize
17.5,79.0,20.7,24.4,67.42,8.01,56.59,lentil
36.5,64.2,85.8,18.02,15.29,7.05,57.51,chickpea
19.4,26.2,31.6,32.6,43.54,6.14,100.26,mango
68.9,37.9,42.0,27.93,82.25,6.35,250.95,rice
14.4,39.0,19.6,27.68,79.8,7.39,43.61,mungbean
142.3,55.3,15.6,23.73,77.22,6.98,86.88,cotton
72.4,54.1,19.3,22.22,67.06,5.17,86.33,maize
103.7,47.4,45.8,23.28,55.02,6.53,83.07,wheat
17.7,28.0,27.3,28.49,46.93,5.13,79.86,mango
140.6,99.7,46.1,29.82,80.49,6.7,114.27,banana
21.7,44.5,24.0,24.87,75.16,6.87,34.23,mungbean
85.3,55.4,35.1,15.26,67.5,5.87,65.46,wheat
99.5,39.6,45.1,16.93,62.61,5.88,71.07,wheat
19.1,59.6,20.0,32.13,57.98,7.17,27.09,lentil
